dsdbestDenmark,dsdbestSweden,dsdMPSweden,dsdoffshoreSweden,dsdbestGlasgow,dsdMPGlasgow,dsdoffshoreGlasgow,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,"19,9009167436484",20,,,,
20,20,20,20,20,"19,6255393153788",20,,,,
20,20,20,20,20,"19,3552658754792",20,,,,
20,20,20,20,20,"19,0899780775195",20,,,,
20,20,20,20,20,"18,8295608645847",20,,,,
20,20,20,20,20,"18,5739023628236",20,,,,
20,20,20,20,20,"18,3228937789229",20,,,,
20,20,20,20,20,"18,0764293013462",20,,,,
20,20,20,20,20,"17,8344060051808",20,,,,
20,20,20,20,20,"17,5967237604464",20,,,,
20,20,20,20,20,"17,3632851437234",20,,,,
20,20,20,20,20,"17,1339953529663",20,,,,
20,20,20,20,20,"16,9087621253731",20,,,,
20,20,20,20,20,"16,687495658188",20,,,,
20,20,20,20,20,"16,4701085323205",20,,,,
20,20,20,20,20,"16,2565156386672",20,,,,
20,20,20,20,20,"16,0466341070301",20,,,,
20,20,20,20,20,"15,8403832375286",20,,,,
20,20,20,20,20,"15,6376844344069",20,,,,
20,20,20,20,20,"15,4384611421423",20,,,,
20,20,20,20,20,"15,2426387837665",20,,,,
20,20,20,20,20,"15,0501447013116",20,,,,
20,20,20,20,20,"14,8609080983007",20,,,,
20,20,20,20,20,"14,6748599842032",20,,,,
20,20,20,20,20,"14,4919331207796",20,,,,
20,20,20,20,20,"14,3120619702441",20,,,,
20,20,20,20,20,"14,1351826451761",20,,,,
20,20,20,20,20,"13,9612328601128",20,,,,
20,20,20,20,20,"13,7901518847625","19,9365513879168",,,,
20,20,20,20,20,"13,6218804987745","19,6932798734403",,,,
20,20,20,20,20,"13,4563609480095","19,4539867128497",,,,
20,20,20,20,"19,8292665949668","13,2935369022551","19,2185904690303",,,,
20,20,20,20,"19,5903293497829","13,1333534143302","18,9870117043294",,,,
20,20,20,20,"19,3552509273779","12,9757568805301","18,7591729233704",,,,
20,20,20,20,"19,123953316852","12,8206950023611","18,5349985177325",,,,
20,20,20,20,"18,8963603989957","12,6681167495182","18,3144147124271",,,,
20,20,20,20,"18,6723978928514","12,5179723240605","18,0973495141057",,,,
20,20,20,20,"18,4519933039974","12,3702131257399","17,8837326609361",,,,
20,20,20,20,"18,2350758744908","12,2247917184439","17,6734955740869",,,,
20,20,20,20,"18,0215765344097","12,0816617977086","17,4665713107624",,,,
20,20,20,20,"17,8114278549382","11,9407781592677","17,2628945187324",,,,
20,20,20,20,"17,6045640029382","11,8020966685966","17,0624013923027",,,,
20,20,20,20,"17,4009206969556","11,6655742314196","16,8650296296761",,,,
20,20,20,20,"17,2004351646093","11,5311687651433","16,6707183916545",,,,
20,20,20,20,"17,003046101316","11,3988391711856","16,4794082616338",,,,
20,20,20,20,"16,8086936303014","11,2685453081673","16,2910412068471",,,,
20,20,20,20,"16,617319263855","11,1402479659375","16,1055605408129",,,,
20,20,20,20,"16,4288658657832","11,0139088404018","15,9229108869443",,,,
20,20,20,20,"16,2432776150212","10,8894905091279","15,7430381432815",,,,
20,20,20,20,"16,0604999703612","10,7669564076997","15,5658894483063",,,,
"19,9481302435136",20,"19,7795815538635",20,"15,8804796362606","10,6462708067945","15,3914131478032",,,,
"19,7253973713964",20,"19,5587306292411",20,"15,7031645296915","10,5273987899595","15,2195587627304",,,,
"19,5059987070312",20,"19,3411857404899",20,"15,528503747997","10,4103062320622","15,050276958065",,,,
"19,2898717530327",20,"19,1268849182867",20,"15,3564475377196","10,2949597783932","14,8835195125922",,,,
"19,0769554175957",20,"18,9157675870122",20,"15,1869472643677","10,181326824398","14,7192392896028",,,,
"18,8671899776584",20,"18,7077745282256",20,"15,019955383091","10,0693754960169","14,5573902084712",,,,
"18,6605170431662",20,"18,5028478452302",20,"14,8554254102312","9,95907463061359","14,3979272170827",,,,
"18,4568795224013",20,"18,3009309286957",20,"14,6933118957209","9,85039375847055","14,2408062650823",,,,
"18,2562215883392",20,"18,1019684233",20,"14,5335703963007","9,74330308483454","14,085984277917",,,,
"18,0584886460015",20,"17,9059061953563",20,"14,3761574495293","9,63777347249227","13,9334191316452",,,,
"17,8636273007691",20,"17,7126913013953",20,"14,2210305485575","9,53377642485942","13,7830696284889",,,,
"17,6715853276251",20,"17,5222719576676",20,"14,0681481176434","9,43128406956581","13,6348954731022",,,,
"17,4823116412978",20,"17,3345975105384",20,"13,917469488383","9,3302691425204","13,4888572495339",,,,
"17,2957562672719",20,"17,1496184077447",20,"13,768954876633","9,23070497244041","13,3449163988614",,,,
"17,1118703136419",20,"16,9672861704857",20,"13,6225653601035","9,13256546582941","13,2030351974733",,,,
"16,930605943779",20,"16,7875533663208",20,"13,4782628565983","9,03582509238959","13,0631767359795",,,,
"16,751916349785",20,"16,6103735828481",20,"13,3360101028818","8,94045887085436","12,9253048987295",,,,
"16,5757557267085",20,"16,4357014021381",20,"13,1957706341533","8,8464423552275","12,7893843439183",,,,
"16,4020792474983",20,"16,2634923758991",20,"13,0575087641071","8,75375162141583","12,6553804842609",,,,
"16,2308430386705",20,"16,0937030013493",20,"12,9211895655614","8,66236325424282","12,5232594682178",,,,
"16,0620041566663",20,"15,926290697775",20,"12,7867788516376","8,57225433483078","12,3929881617536",,,,
"15,8955205648786",20,"15,7612137837511",20,"12,6542431574706","8,48340242834012","12,2645341306111",,,,
"15,7313511113264",20,"15,5984314550042",20,"12,5235497224366","8,39578557205418","12,1378656230856",,,,
"15,5694555069565",20,"15,4379037628969",20,"12,3946664728783","8,30938226379865","12,012951553283",,,,
"15,4097943045516",20,"15,2795915935154",20,"12,2675620053147","8,22417145068528","11,889761484846",,,,
"15,2523288782275",20,"15,1234566473389",20,"12,1422055701185","8,14013251816934","11,7682656151347",,,,
"15,0970214034998",20,"14,9694614194754",20,"12,018567055648","8,05724527941129","11,6484347598467",,,,
"14,9438348379026",20,"14,8175691804435",20,"11,8966169728172","7,97548996493308","11,5302403380629",,,,
"14,792732902142",20,"14,6677439574859",20,"11,776326440093","7,8948472125598","11,4136543577062",,,,
"14,6436800617683",20,"14,5199505163955",20,"11,6576671689038","7,81529805763803","11,2986494014",,,,
"14,4966415093496",20,"14,3741543438408",20,"11,5406114494491","7,73682392352228","11,1851986127143",,,,
"14,3515831471334",20,"14,2303216301729",20,"11,4251321368959","7,65940661232109","11,0732756827876",,,,
